Hugo_Symbol,n_mutations,n_patients,n_high_impact,hotspot_count,high_impact_ratio,patient_frequency,hotspot_ratio,patient_frequency_norm,high_impact_ratio_norm,hotspot_ratio_norm,gene_priority_score,log_n_mutations,cluster
ARSJ,1,1,1.0,0.0,1.0,0.002415458937198,0.0,0.0,1.0,0.0,0.3,0.6931471805599453,7
ATG101,1,1,1.0,0.0,1.0,0.002415458937198,0.0,0.0,1.0,0.0,0.3,0.6931471805599453,7
ZNF233,1,1,1.0,0.0,1.0,0.002415458937198,0.0,0.0,1.0,0.0,0.3,0.6931471805599453,7
ZNF254,1,1,1.0,0.0,1.0,0.002415458937198,0.0,0.0,1.0,0.0,0.3,0.6931471805599453,7
ASPA,1,1,1.0,0.0,1.0,0.002415458937198,0.0,0.0,1.0,0.0,0.3,0.6931471805599453,7
ASPHD2,1,1,1.0,0.0,1.0,0.002415458937198,0.0,0.0,1.0,0.0,0.3,0.6931471805599453,7
MBD6,1,1,1.0,0.0,1.0,0.002415458937198,0.0,0.0,1.0,0.0,0.3,0.6931471805599453,7
MCHR2,1,1,1.0,0.0,1.0,0.002415458937198,0.0,0.0,1.0,0.0,0.3,0.6931471805599453,7
SLC35F6,1,1,1.0,0.0,1.0,0.002415458937198,0.0,0.0,1.0,0.0,0.3,0.6931471805599453,7
MBOAT7,1,1,1.0,0.0,1.0,0.002415458937198,0.0,0.0,1.0,0.0,0.3,0.6931471805599453,7
MED10,1,1,1.0,0.0,1.0,0.002415458937198,0.0,0.0,1.0,0.0,0.3,0.6931471805599453,7
SLC35A2,1,1,1.0,0.0,1.0,0.002415458937198,0.0,0.0,1.0,0.0,0.3,0.6931471805599453,7
SLC2A14,1,1,1.0,0.0,1.0,0.002415458937198,0.0,0.0,1.0,0.0,0.3,0.6931471805599453,7
SLC2A8,1,1,1.0,0.0,1.0,0.002415458937198,0.0,0.0,1.0,0.0,0.3,0.6931471805599453,7
MED26,1,1,1.0,0.0,1.0,0.002415458937198,0.0,0.0,1.0,0.0,0.3,0.6931471805599453,7
NDUFB6,1,1,1.0,0.0,1.0,0.002415458937198,0.0,0.0,1.0,0.0,0.3,0.6931471805599453,7
NDUFS6,1,1,1.0,0.0,1.0,0.002415458937198,0.0,0.0,1.0,0.0,0.3,0.6931471805599453,7
SERPINI1,1,1,1.0,0.0,1.0,0.002415458937198,0.0,0.0,1.0,0.0,0.3,0.6931471805599453,7
SERPINA4,1,1,1.0,0.0,1.0,0.002415458937198,0.0,0.0,1.0,0.0,0.3,0.6931471805599453,7
NECTIN1,1,1,1.0,0.0,1.0,0.002415458937198,0.0,0.0,1.0,0.0,0.3,0.6931471805599453,7
NHSL2,1,1,1.0,0.0,1.0,0.002415458937198,0.0,0.0,1.0,0.0,0.3,0.6931471805599453,7
NGRN,1,1,1.0,0.0,1.0,0.002415458937198,0.0,0.0,1.0,0.0,0.3,0.6931471805599453,7
ZNF213,1,1,1.0,0.0,1.0,0.002415458937198,0.0,0.0,1.0,0.0,0.3,0.6931471805599453,7
ATXN10,1,1,1.0,0.0,1.0,0.002415458937198,0.0,0.0,1.0,0.0,0.3,0.6931471805599453,7
