Hugo_Symbol,n_mutations,n_patients,n_high_impact,hotspot_count,high_impact_ratio,patient_frequency,hotspot_ratio,patient_frequency_norm,high_impact_ratio_norm,hotspot_ratio_norm,gene_priority_score,log_n_mutations,weak_label_driver,ml_driver_probability,hybrid_score
DNAH10,19,18,2.0,0.0,0.1052631578947368,0.0434782608695652,0.0,0.1370967741935485,0.1052631578947368,0.0,0.1001273344651953,2.995732273553991,0,0.9598608540099031,0.6159674461920199
COL22A1,19,18,3.0,0.0,0.1578947368421052,0.0434782608695652,0.0,0.1370967741935485,0.1578947368421052,0.0,0.1159168081494058,2.995732273553991,0,0.95812522760315,0.6212418598216523
NOS1,19,17,2.0,0.0,0.1052631578947368,0.0410628019323671,0.0,0.1290322580645161,0.1052631578947368,0.0,0.0960950764006791,2.995732273553991,0,0.9535562071859535,0.6105717548718437
RP1,18,18,3.0,0.0,0.1666666666666666,0.0434782608695652,0.0,0.1370967741935485,0.1666666666666666,0.0,0.1185483870967742,2.9444389791664403,0,0.9532275890572343,0.6193559082730502
MGA,18,18,3.0,0.0,0.1666666666666666,0.0434782608695652,0.0,0.1370967741935485,0.1666666666666666,0.0,0.1185483870967742,2.9444389791664403,0,0.9532275890572343,0.6193559082730502
SLITRK2,18,17,0.0,0.0,0.0,0.0410628019323671,0.0,0.1290322580645161,0.0,0.0,0.064516129032258,2.9444389791664403,0,0.952658099729605,0.5974013114506662
DYNC2H1,19,16,0.0,0.0,0.0,0.038647342995169,0.0,0.1209677419354838,0.0,0.0,0.0604838709677419,2.995732273553991,0,0.9506288511413786,0.5945708590719239
ABCA12,18,17,1.0,0.0,0.0555555555555555,0.0410628019323671,0.0,0.1290322580645161,0.0555555555555555,0.0,0.0811827956989247,2.9444389791664403,0,0.9505118182186024,0.6027802092107313
KMT2B,20,18,10.0,0.0,0.5,0.0434782608695652,0.0,0.1370967741935485,0.5,0.0,0.2185483870967742,3.044522437723423,0,0.9500961616527163,0.6574770518303394
TNXB,19,17,4.0,0.0,0.2105263157894736,0.0410628019323671,0.0,0.1290322580645161,0.2105263157894736,0.0,0.1276740237691001,2.995732273553991,0,0.949486125940881,0.6207612850721687
EPHA4,18,17,2.0,0.0,0.1111111111111111,0.0410628019323671,0.0,0.1290322580645161,0.1111111111111111,0.0,0.0978494623655914,2.9444389791664403,0,0.9482735166615742,0.6081038949431811
KEAP1,19,17,5.0,0.0,0.2631578947368421,0.0410628019323671,0.0,0.1290322580645161,0.2631578947368421,0.0,0.1434634974533107,2.995732273553991,1,0.947326511542764,0.6257813059069828
TENM1,17,17,0.0,0.0,0.0,0.0410628019323671,0.0,0.1290322580645161,0.0,0.0,0.064516129032258,2.8903717578961645,0,0.9472311159010782,0.5941451211535501
PIK3CA,17,17,0.0,0.0,0.0,0.0410628019323671,0.0,0.1290322580645161,0.0,0.0,0.064516129032258,2.8903717578961645,1,0.9472311159010782,0.5941451211535501
COL6A3,18,17,3.0,0.0,0.1666666666666666,0.0410628019323671,0.0,0.1290322580645161,0.1666666666666666,0.0,0.114516129032258,2.9444389791664403,0,0.9459397367338039,0.6133702936531855
SEMA6D,17,17,1.0,0.0,0.0588235294117647,0.0410628019323671,0.0,0.1290322580645161,0.0588235294117647,0.0,0.0821631878557875,2.8903717578961645,0,0.9447100544969844,0.5996913078405056
PTPRB,18,16,1.0,0.0,0.0555555555555555,0.038647342995169,0.0,0.1209677419354838,0.0555555555555555,0.0,0.0771505376344085,2.9444389791664403,0,0.9428261882256029,0.596555927989125
ANK2,17,17,2.0,0.0,0.1176470588235294,0.0410628019323671,0.0,0.1290322580645161,0.1176470588235294,0.0,0.0998102466793169,2.8903717578961645,0,0.9420759133776225,0.6051696466983002
KMT2C,18,17,5.0,0.0,0.2777777777777778,0.0410628019323671,0.0,0.1290322580645161,0.2777777777777778,0.0,0.1478494623655914,2.9444389791664403,0,0.9409714847629472,0.6237226758040049
REV3L,18,17,5.0,0.0,0.2777777777777778,0.0410628019323671,0.0,0.1290322580645161,0.2777777777777778,0.0,0.1478494623655914,2.9444389791664403,0,0.9409714847629472,0.6237226758040049
UBR4,17,17,3.0,0.0,0.1764705882352941,0.0410628019323671,0.0,0.1290322580645161,0.1764705882352941,0.0,0.1174573055028463,2.8903717578961645,0,0.9393243359105161,0.6105775237474482
PREX1,18,15,0.0,0.0,0.0,0.036231884057971,0.0,0.1129032258064517,0.0,0.0,0.0564516129032258,2.9444389791664403,0,0.9368434069929121,0.5846866893570376
ADAMTS20,17,16,1.0,0.0,0.0588235294117647,0.038647342995169,0.0,0.1209677419354838,0.0588235294117647,0.0,0.0781309297912713,2.8903717578961645,0,0.9361838908661189,0.5929627064361799
SVEP1,17,16,1.0,0.0,0.0588235294117647,0.038647342995169,0.0,0.1209677419354838,0.0588235294117647,0.0,0.0781309297912713,2.8903717578961645,0,0.9361838908661189,0.5929627064361799
MYO18A,17,16,1.0,0.0,0.0588235294117647,0.038647342995169,0.0,0.1209677419354838,0.0588235294117647,0.0,0.0781309297912713,2.8903717578961645,0,0.9361838908661189,0.5929627064361799
CTNNA2,17,16,1.0,0.0,0.0588235294117647,0.038647342995169,0.0,0.1209677419354838,0.0588235294117647,0.0,0.0781309297912713,2.8903717578961645,0,0.9361838908661189,0.5929627064361799
SLIT2,18,16,4.0,0.0,0.2222222222222222,0.038647342995169,0.0,0.1209677419354838,0.2222222222222222,0.0,0.1271505376344085,2.9444389791664403,0,0.9348080433766954,0.6117450410797806
CDH9,18,16,4.0,0.0,0.2222222222222222,0.038647342995169,0.0,0.1209677419354838,0.2222222222222222,0.0,0.1271505376344085,2.9444389791664403,0,0.9348080433766954,0.6117450410797806
HERC1,18,16,4.0,0.0,0.2222222222222222,0.038647342995169,0.0,0.1209677419354838,0.2222222222222222,0.0,0.1271505376344085,2.9444389791664403,0,0.9348080433766954,0.6117450410797806
NRXN1,17,16,2.0,0.0,0.1176470588235294,0.038647342995169,0.0,0.1209677419354838,0.1176470588235294,0.0,0.0957779886148007,2.8903717578961645,0,0.9331722781219665,0.5982145623191002
DNAH1,17,16,2.0,0.0,0.1176470588235294,0.038647342995169,0.0,0.1209677419354838,0.1176470588235294,0.0,0.0957779886148007,2.8903717578961645,0,0.9331722781219665,0.5982145623191002
COL4A4,16,16,0.0,0.0,0.0,0.038647342995169,0.0,0.1209677419354838,0.0,0.0,0.0604838709677419,2.833213344056216,0,0.93178072604665,0.5832619840150867
NLGN4X,16,16,0.0,0.0,0.0,0.038647342995169,0.0,0.1209677419354838,0.0,0.0,0.0604838709677419,2.833213344056216,0,0.93178072604665,0.5832619840150867
DSCAM,18,15,2.0,0.0,0.1111111111111111,0.036231884057971,0.0,0.1129032258064517,0.1111111111111111,0.0,0.0897849462365592,2.9444389791664403,0,0.9311000733102686,0.5945740224807847
ROBO1,17,16,3.0,0.0,0.1764705882352941,0.038647342995169,0.0,0.1209677419354838,0.1764705882352941,0.0,0.1134250474383301,2.8903717578961645,0,0.9300291636401794,0.6033875171594396
LRRIQ1,18,16,6.0,0.0,0.3333333333333333,0.038647342995169,0.0,0.1209677419354838,0.3333333333333333,0.0,0.1604838709677419,2.9444389791664403,0,0.9288936662735326,0.6215297481512163
